"_time",ImageLoaded,count
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\IPHLPAPI.DLL",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\SHCore.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\dnsapi.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\powrprof.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\shlwapi.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\srvcli.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\winsta.dll",1
"2017-09-19T23:43:21.000-0700","C:\Windows\System32\wtsapi32.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\crypt32.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\cryptsp.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\msasn1.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\netapi32.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\netutils.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\nsi.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\ntmarta.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\ole32.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\pdh.dll",1
"2017-09-19T23:43:22.000-0700","C:\Windows\System32\wkscli.dll",1
"2017-09-19T23:43:24.000-0700","C:\Windows\System32\profapi.dll",1
"2017-09-19T23:43:24.000-0700","C:\Windows\System32\windows.storage.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\clusapi.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\cscapi.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\ktmw32.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\msdtcprx.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\mtxclu.dll",1
"2017-09-19T23:43:25.000-0700","C:\Windows\System32\resutils.dll",1
"2017-09-19T23:43:27.000-0700","C:\Windows\System32\cfgmgr32.dll",1
"2017-09-19T23:43:28.000-0700","C:\Windows\System32\shell32.dll",1
"2017-09-19T23:43:31.000-0700","C:\Windows\System32\setupapi.dll",1
"2017-09-19T23:43:31.000-0700","C:\Windows\System32\version.dll",1
"2017-09-19T23:43:32.000-0700","C:\Windows\System32\tquery.dll",1
"2017-09-19T23:43:33.000-0700","C:\Windows\System32\samcli.dll",1
"2017-09-19T23:43:33.000-0700","C:\Windows\System32\secur32.dll",1
"2017-09-19T23:43:33.000-0700","C:\Windows\System32\wevtapi.dll",1
"2017-09-19T23:43:37.000-0700","C:\Windows\System32\logoncli.dll",1
"2017-09-19T23:43:41.000-0700","C:\Windows\System32\dsrole.dll",1
"2017-09-19T23:43:42.000-0700","C:\Windows\System32\bitsperf.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\CORPerfMonExt.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\PerfCounter.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\Microsoft.NET\Framework64\v4.0.30319\mscoreei.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\atl.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\browcli.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\esentprf.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\mscoree.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\msdtcuiu.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\msscntrs.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\msvcr120_clr0400.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\netfxperf.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfctrs.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfdisk.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfnet.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfos.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfproc.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\perfts.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\rasctrs.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\rasman.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\sysmain.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\tapiperf.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\usbperf.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\utildll.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\wbem\WmiApRpl.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\wbem\WmiPerfClass.dll",1
"2017-09-19T23:43:43.000-0700","C:\Windows\System32\winspool.drv",1
"2017-09-19T23:43:47.000-0700","C:\Windows\System32\schannel.dll",1
"2017-09-19T23:43:47.000-0700","C:\Windows\System32\security.dll",1
"2017-09-19T23:43:47.000-0700","C:\Windows\System32\winbrand.dll",1
"2017-09-19T23:43:48.000-0700","C:\Windows\System32\provthrd.dll",1
"2017-09-19T23:43:48.000-0700","C:\Windows\System32\schedcli.dll",1
"2017-09-19T23:43:48.000-0700","C:\Windows\System32\wbem\ntevt.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\KernelBase.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\advapi32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\bcrypt.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\bcryptprimitives.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\clbcatq.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\combase.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\gdi32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\gdi32full.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\kernel.appcore.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\kernel32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\msvcp_win.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\msvcrt.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ncobjapi.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ntdll.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\oleaut32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\rpcrt4.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\sechost.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\sspicli.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ucrtbase.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\user32.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\userenv.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\WmiPrvSE.exe",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\esscli.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\fastprox.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\stdprov.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wbemprox.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wbemsvc.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbem\wmiutils.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\wbemcomn.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\win32u.dll",1
"2017-09-19T23:44:10.000-0700","C:\Windows\System32\ws2_32.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\authz.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\samlib.dll",1
"2017-09-19T23:44:22.000-0700","C:\Windows\System32\wbem\wbemcons.dll",1
